Instâncias,Miranda,Mira (Time),Lagran,Lagran (Time),ILS,ILS (Time)
c01,3458,1,3458,1,3472,0.27
c02,3311,1,331,1,3322,4.32
c03,3326,1,3326,1,3337,0.19
c04,3363,1,3363,1,3374,0.8
c05,3341,0,3341,0,3345,6.02
c06,2564,1,2564,1,2586,0.28
c07,2562,0,2562,0,2586,1.22
c08,2496,1,2496,1,2497,0.93
c09,2443,1,2443,1,2444,1.26
c10,2494,1,2494,1,2523,0.26
c11,1533,1,1533,1,1560,0.63
c12,1587,1,1587,1,1616,0.68
c13,1548,1,1548,1,1561,1.09
c14,1563,1,1563,1,1580,0.51
c15,1562,0,1562,0,1561,1.29
c16,978,2,978,2,983,1.12
c17,971,2,971,2,993,1.26
c18,964,2,964,2,975,1.3
c19,951,3,951,3,964,1.65
c20,960,2,960,2,959,1.23
